iter	Passed	Remaining
184	1303	2219
185	1309	2210
186	1316	2202
187	1322	2195
188	1329	2188
189	1336	2181
190	1343	2172
191	1350	2166
192	1357	2159
193	1363	2151
194	1371	2145
195	1377	2137
196	1384	2129
197	1391	2121
198	1398	2115
199	1405	2108
200	1412	2100
201	1418	2092
202	1426	2086
203	1432	2078
204	1440	2073
205	1446	2064
206	1452	2055
207	1459	2049
208	1466	2041
209	1474	2035
210	1481	2028
211	1488	2021
212	1494	2013
213	1499	2004
214	1506	1996
215	1513	1989
216	1521	1983
217	1527	1975
218	1534	1968
219	1541	1961
220	1548	1955
221	1555	1948
222	1562	1941
223	1568	1932
224	1574	1924
225	1582	1918
226	1589	1911
227	1596	1904
228	1604	1898
229	1609	1889
230	1616	1882
231	1622	1874
232	1630	1867
233	1637	1861
234	1645	1855
235	1652	1848
236	1659	1841
237	1666	1834
238	1674	1828
239	1680	1820
240	1687	1813
241	1694	1806
242	1701	1799
243	1708	1792
244	1716	1786
245	1723	1779
246	1730	1772
247	1737	1765
248	1744	1758
249	1749	1749
250	1757	1743
251	1764	1736
252	1771	1729
253	1777	1721
254	1785	1715
255	1792	1708
256	1798	1700
257	1803	1692
258	1809	1683
259	1816	1676
260	1822	1669
261	1828	1661
262	1836	1654
263	1842	1646
264	1849	1640
265	1857	1633
266	1863	1626
267	1873	1622
268	1881	1615
269	1889	1609
270	1896	1602
271	1903	1595
272	1911	1589
273	1919	1582
274	1925	1575
275	1932	1568
276	1938	1560
277	1944	1552
278	1952	1546
279	1959	1539
280	1965	1532
281	1973	1525
282	1979	1517
283	1986	1510
284	1993	1504
285	2000	1497
286	2007	1489
287	2012	1481
288	2019	1474
289	2025	1467
290	2033	1460
291	2040	1453
292	2047	1446
293	2055	1439
294	2061	1432
295	2067	1424
296	2074	1417
297	2081	1410
298	2088	1403
299	2095	1396
300	2101	1389
301	2107	1382
302	2114	1374
303	2120	1367
304	2129	1361
305	2136	1354
306	2143	1347
307	2149	1339
308	2156	1333
309	2164	1326
310	2171	1319
311	2178	1312
312	2185	1305
313	2193	1299
314	2200	1292
315	2207	1285
316	2213	1277
317	2220	1270
318	2227	1264
319	2235	1257
320	2242	1250
321	2249	1243
322	2256	1236
323	2262	1228
324	2269	1221
325	2275	1214
326	2281	1207
327	2287	1199
328	2293	1191
329	2300	1185
330	2307	1178
331	2315	1171
332	2321	1164
333	2329	1157
334	2337	1151
335	2345	1144
336	2354	1138
337	2361	1131
338	2369	1125
339	2375	1117
340	2384	1111
341	2390	1104
342	2397	1097
343	2405	1090
344	2411	1083
345	2418	1076
346	2424	1069
347	2432	1062
348	2439	1055
349	2447	1048
350	2455	1042
351	2461	1034
352	2467	1027
353	2474	1020
354	2481	1013
355	2490	1007
356	2496	1000
357	2504	993
358	2511	986
359	2518	979
360	2526	972
361	2533	965
362	2540	958
363	2547	951
364	2553	944
365	2559	937
366	2565	929
367	2572	922
368	2579	915
369	2586	908
370	2592	901
371	2598	894
372	2605	886
373	2611	879
374	2618	872
375	2625	865
376	2632	858
377	2637	851
378	2644	844
379	2650	837
380	2656	829
381	2664	822
382	2671	816
383	2679	809
384	2686	802
385	2693	795
386	2700	788
387	2706	781
388	2714	774
389	2722	767
390	2729	760
391	2738	754
392	2746	747
393	2751	740
394	2758	733
395	2764	726
396	2771	719
397	2778	712
398	2785	705
399	2793	698
400	2798	690
401	2804	683
402	2812	676
403	2819	670
404	2827	663
405	2833	656
406	2839	648
407	2845	641
408	2851	634
409	2862	628
410	2870	621
411	2877	614
412	2884	607
413	2891	600
414	2898	593
415	2904	586
416	2910	579
417	2917	572
418	2924	565
419	2932	558
420	2938	551
421	2945	544
422	2952	537
423	2959	530
424	2967	523
425	2974	516
426	2981	509
427	2988	502
428	2995	495
429	3002	488
430	3009	481
431	3015	474
432	3022	467
433	3028	460
434	3035	453
435	3042	446
436	3049	439
437	3056	432
438	3063	425
439	3071	418
440	3079	411
441	3086	405
442	3094	398
443	3102	391
444	3108	384
445	3115	377
446	3122	370
447	3129	363
448	3136	356
449	3143	349
450	3149	342
451	3156	335
452	3163	328
453	3169	321
454	3176	314
455	3182	307
456	3190	300
457	3197	293
458	3204	286
459	3211	279
460	3218	272
461	3224	265
462	3230	258
463	3238	251
464	3245	244
465	3252	237
466	3261	230
467	3269	223
468	3276	216
469	3282	209
470	3288	202
471	3295	195
472	3302	188
473	3308	181
474	3315	174
475	3322	167
476	3329	160
477	3336	153
478	3344	146
479	3350	139
480	3358	132
481	3364	125
482	3371	118
483	3378	111
484	3384	104
485	3390	97
486	3397	90
487	3404	83
488	3411	76
489	3418	69
490	3425	62
491	3432	55
492	3438	48
493	3446	41
494	3452	34
495	3460	27
496	3467	20
497	3475	13
498	3482	6
499	3488	0
